2020/01/15,3.108,3.152,3.108,3.123,10873000.0,34005945.0
2020/01/16,3.129,3.139,3.113,3.129,10436100.0,32639417.0
2020/01/17,3.13,3.139,3.1,3.104,15028260.0,46794544.0
2020/01/20,3.11,3.133,3.077,3.099,19074548.0,58969498.0
2020/01/21,3.093,3.093,3.028,3.033,23736011.0,72179757.0
2020/01/22,3.011,3.032,2.969,3.022,19570800.0,58765366.0
2020/01/23,2.998,2.998,2.876,2.907,35222500.0,103153719.0
2020/01/24,2.907,2.907,2.907,2.907,0.0,0.0
2020/01/27,2.907,2.907,2.907,2.907,0.0,0.0
2020/01/28,2.907,2.907,2.907,2.907,0.0,0.0
2020/01/29,2.907,2.907,2.907,2.907,0.0,0.0
2020/01/30,2.907,2.907,2.907,2.907,0.0,0.0
2020/01/31,2.907,2.907,2.907,2.907,0.0,0.0
2020/02/03,2.616,2.7,2.616,2.616,31116875.0,82022787.0
2020/02/04,2.59,2.729,2.59,2.723,22284444.0,59783053.0
2020/02/05,2.729,2.785,2.723,2.775,16411020.0,45271439.0
2020/02/06,2.785,2.869,2.771,2.861,32231800.0,91494960.0
2020/02/07,2.856,2.895,2.826,2.895,20567050.0,58926298.0
2020/02/10,2.873,2.937,2.869,2.931,21073214.0,61455589.0
2020/02/11,2.931,2.977,2.918,2.949,50174305.0,148248321.0
2020/02/12,2.941,2.965,2.937,2.959,10191301.0,30094862.0
2020/02/13,2.951,2.982,2.942,2.944,16729099.0,49483459.0
2020/02/14,2.945,2.978,2.939,2.967,30094295.0,89133556.0
